id,created_date,water_pH,TDS,water_temp
181775,2023-01-26 11:24:00,7.6,250,24.0
181777,2023-01-26 11:33:00,7.6,247,24.06
181778,2023-01-26 12:02:00,7.6,249,24.19
181780,2023-01-26 12:05:00,6.92,247,24.19
181782,2023-01-26 12:10:00,7.3,245,24.25
181783,2023-01-26 12:11:00,6.96,247,24.25
181784,2023-01-26 12:11:00,7.6,247,24.25
181788,2023-01-26 12:12:00,6.88,247,24.25
181792,2023-01-26 12:17:00,7.6,247,24.25
181793,2023-01-26 12:18:00,7.19,247,24.25
181795,2023-01-26 12:21:00,7.54,247,24.31
181797,2023-01-26 12:22:00,7.34,253,24.31
181799,2023-01-26 12:26:00,7.6,250,24.31
181804,2023-01-26 12:42:00,7.41,252,24.44
181805,2023-01-26 12:43:00,7.6,245,24.44
181807,2023-01-26 12:47:00,7.32,250,24.44
181810,2023-01-26 12:49:00,7.54,248,24.5
181811,2023-01-26 12:58:00,7.73,248,24.56
181815,2023-01-26 13:02:00,7.52,247,24.56
181825,2023-01-26 13:06:00,7.41,248,24.56
181826,2023-01-26 13:08:00,7.39,248,24.56
181828,2023-01-26 13:09:00,7.17,247,24.56
181830,2023-01-26 13:11:00,7.64,247,24.63
181832,2023-01-26 13:16:00,7.37,263,24.63
181833,2023-01-26 13:27:00,7.6,256,24.69
181839,2023-01-26 14:32:00,7.09,245,25.06
181857,2023-01-26 14:34:00,7.17,245,25.06
181858,2023-01-26 14:34:00,7.28,241,25.06
181859,2023-01-26 14:34:00,7.52,498,25.06
181860,2023-01-26 14:34:00,7.6,245,25.06
181861,2023-01-26 14:34:00,7.37,243,25.06
181864,2023-01-26 14:34:00,7.6,245,25.06
181865,2023-01-26 14:34:00,6.59,243,25.06
181866,2023-01-26 14:35:00,7.6,245,25.0
181870,2023-01-26 14:35:00,7.6,243,25.0
181871,2023-01-26 14:35:00,7.6,248,25.06
181872,2023-01-26 14:35:00,7.34,243,25.06
181873,2023-01-26 14:35:00,7.43,246,25.0
181874,2023-01-26 14:36:00,7.58,245,25.0
181875,2023-01-26 14:36:00,7.15,243,25.0
181876,2023-01-26 14:36:00,7.62,246,25.0
181878,2023-01-26 14:36:00,7.6,245,25.06
181882,2023-01-26 14:36:00,7.58,246,25.06
181883,2023-01-26 14:36:00,7.39,245,25.06
181884,2023-01-26 14:36:00,7.6,245,25.06
181885,2023-01-26 14:36:00,7.64,246,25.06
181886,2023-01-26 14:36:00,7.45,243,25.0
181887,2023-01-26 14:36:00,7.6,246,25.06
181888,2023-01-26 14:36:00,7.6,243,25.06
181892,2023-01-26 14:37:00,7.34,246,25.06
181894,2023-01-26 14:37:00,7.62,243,25.06
181895,2023-01-26 14:37:00,7.6,246,25.06
181896,2023-01-26 14:37:00,7.52,243,25.06
181897,2023-01-26 14:37:00,7.6,243,25.06
181898,2023-01-26 14:37:00,7.69,245,25.06
181900,2023-01-26 14:37:00,7.6,243,25.06
181901,2023-01-26 14:37:00,7.6,245,25.06
181902,2023-01-26 14:37:00,7.6,245,25.06
181903,2023-01-26 14:38:00,7.6,245,25.06
181904,2023-01-26 14:38:00,7.6,246,25.06
181906,2023-01-26 14:38:00,7.49,248,25.06
181907,2023-01-26 14:38:00,7.6,245,25.06
181908,2023-01-26 14:38:00,7.67,245,25.06
181909,2023-01-26 14:38:00,7.6,246,25.06
181910,2023-01-26 14:38:00,7.37,246,25.06
181911,2023-01-26 14:38:00,7.6,246,25.06
181913,2023-01-26 14:38:00,7.6,245,25.06
181914,2023-01-26 14:38:00,7.6,246,25.06
181915,2023-01-26 14:39:00,7.64,246,25.0
181916,2023-01-26 14:39:00,7.6,245,25.0
181917,2023-01-26 14:39:00,7.6,245,25.0
181919,2023-01-26 14:39:00,7.6,246,25.0
181920,2023-01-26 14:39:00,7.6,243,25.0
181921,2023-01-26 14:39:00,7.58,248,25.06
181922,2023-01-26 14:39:00,7.6,246,25.06
181923,2023-01-26 14:40:00,7.6,248,25.0
181924,2023-01-26 14:40:00,7.6,245,25.06
181925,2023-01-26 14:40:00,7.6,245,25.06
181927,2023-01-26 14:41:00,7.34,246,25.06
181929,2023-01-26 14:41:00,6.94,243,25.06
181931,2023-01-26 14:41:00,7.6,246,25.06
181932,2023-01-26 14:41:00,7.28,245,25.06
181934,2023-01-26 14:41:00,7.58,245,25.06
181935,2023-01-26 14:42:00,7.24,246,25.06
181938,2023-01-26 14:42:00,7.6,246,25.06
181939,2023-01-26 14:42:00,7.6,246,25.06
181940,2023-01-26 14:44:00,7.6,245,25.06
181946,2023-01-26 14:45:00,7.6,245,25.06
181948,2023-01-26 14:46:00,7.3,248,25.06
181949,2023-01-26 14:46:00,7.6,248,25.06
181950,2023-01-26 14:46:00,7.47,246,25.06
181952,2023-01-26 14:46:00,7.6,248,25.06
181953,2023-01-26 14:46:00,7.6,248,25.06
181954,2023-01-26 14:46:00,7.0,248,25.06
181956,2023-01-26 14:46:00,7.15,244,25.06
181957,2023-01-26 14:47:00,7.54,246,25.06
181958,2023-01-26 14:47:00,7.6,246,25.06
181966,2023-01-26 14:48:00,7.11,246,25.06
181968,2023-01-26 14:49:00,7.6,246,25.06
181972,2023-01-26 14:49:00,7.6,246,25.06
181979,2023-01-26 14:52:00,7.6,249,25.06
181982,2023-01-26 14:53:00,7.15,249,25.06
181985,2023-01-26 14:53:00,7.15,253,25.06
181986,2023-01-26 14:53:00,6.85,248,25.06
181990,2023-01-26 14:54:00,7.49,249,25.13
181995,2023-01-26 14:55:00,7.28,248,25.06
181999,2023-01-26 14:55:00,7.6,249,25.06
182000,2023-01-26 14:56:00,7.13,248,25.06
182003,2023-01-26 14:56:00,7.39,248,25.06
182006,2023-01-26 14:56:00,7.52,248,25.06
182007,2023-01-26 14:56:00,7.22,246,25.06
182008,2023-01-26 14:56:00,7.6,248,25.06
182009,2023-01-26 14:56:00,7.6,254,25.13
182010,2023-01-26 14:56:00,7.6,249,25.13
182013,2023-01-26 14:56:00,7.6,246,25.13
182014,2023-01-26 14:56:00,7.28,244,25.13
182015,2023-01-26 14:57:00,7.22,251,25.06
182019,2023-01-26 14:57:00,7.43,248,25.13
182020,2023-01-26 14:57:00,7.17,248,25.06
182021,2023-01-26 14:57:00,6.92,249,25.13
182023,2023-01-26 14:58:00,7.6,248,25.06
182028,2023-01-26 15:00:00,7.32,253,25.13
182030,2023-01-26 15:00:00,7.52,249,25.13
182031,2023-01-26 15:00:00,7.26,256,25.13
182032,2023-01-26 15:00:00,7.34,251,25.13
182034,2023-01-26 15:01:00,7.24,249,25.13
